"Date","URM","LRM","Distance","Year"
"441",2007-07-07,74,74,0,2007
"442",2007-07-09,159.1,152.5,6.6,2007
"443",2007-08-12,154,152.5,1.5,2007
"444",2007-08-13,153,152.5,0.5,2007
"445",2007-08-14,154,152.5,1.5,2007
"446",2007-08-15,155.5,152.5,3,2007
"447",2007-08-16,158.5,152.5,6,2007
"448",2007-08-17,96.5,90.5,6,2007
"449",2007-08-17,158,152.5,5.5,2007
"450",2007-08-18,91,90.5,0.5,2007
"451",2007-08-18,152.5,152.5,0,2007
"452",2007-08-19,89,84,5,2007
"453",2007-08-19,161,152.5,8.5,2007
"454",2007-08-02,78,74,4,2007
"455",2007-08-20,80,74,6,2007
"456",2007-08-20,89,84,5,2007
"457",2007-08-20,161,152.5,8.5,2007
"458",2007-08-21,89.5,74,15.5,2007
"459",2007-08-21,152.5,152.5,0,2007
"460",2007-08-22,89.5,74,15.5,2007
"461",2007-08-22,152.5,152.5,0,2007
"462",2007-08-23,90.5,74,16.5,2007
"463",2007-08-23,152.5,152.5,0,2007
"464",2007-08-24,90.5,74,16.5,2007
"465",2007-08-24,158.5,152.5,6,2007
"466",2007-08-25,92,74,18,2007
"467",2007-08-25,153,152.5,0.5,2007
"468",2007-08-26,85.5,76.5,9,2007
"469",2007-08-27,86,76.5,9.5,2007
"470",2007-08-27,158.5,152.5,6,2007
"471",2007-08-28,157,152.5,4.5,2007
"472",2007-08-29,91,74,17,2007
"473",2007-08-29,152.5,152.5,0,2007
"474",2007-08-30,152.5,152.5,0,2007
"475",2007-08-31,158.5,152.5,6,2007
"476",2007-09-01,155,152.5,2.5,2007
"477",2007-09-10,161,152.5,8.5,2007
"478",2007-09-11,152.5,152.5,0,2007
"479",2007-09-12,152.5,152.5,0,2007
"480",2007-09-13,152.5,152.5,0,2007
"481",2007-09-14,152.5,152.5,0,2007
"482",2007-09-15,152.5,152.5,0,2007
"483",2007-09-16,152.5,152.5,0,2007
"484",2007-09-17,152.5,152.5,0,2007
"485",2007-09-18,161,152.5,8.5,2007
"486",2007-09-19,152.5,152.5,0,2007
"487",2007-09-02,153,152.5,0.5,2007
"488",2007-09-20,90.5,74,16.5,2007
"489",2007-09-20,152.5,152.5,0,2007
"490",2007-09-29,159.5,152.5,7,2007
"491",2007-09-30,160,152.5,7.5,2007
"492",2007-09-06,159,152.5,6.5,2007
"493",2007-09-07,159.5,152.5,7,2007
"494",2007-09-08,160,152.5,7.5,2007
"495",2007-09-09,161,152.5,8.5,2007
"496",2008-08-13,149.5,149.5,0,2008
"497",2008-08-14,149.5,149.5,0,2008
